id,location,latitude,longitude
399,"Kozy, Śląskie, Poland",49.845,19.1417
400,"Koło, Wielkopolskie, Poland",52.2,18.6333
401,"Kołobrzeg, Zachodniopomorskie, Poland",54.1761,15.5761
402,"Końskie, Świętokrzyskie, Poland",51.2,20.4167
403,"Kościan, Wielkopolskie, Poland",52.0833,16.65
404,"Kościelisko, Małopolskie, Poland",49.2908,19.8883
405,"Kościerzyna, Pomorskie, Poland",54.1167,17.9833
406,"Košice, Slovakia",48.7167,21.25
407,"Kożuchów, Lubuskie, Poland",51.75,15.6
408,"Kraków, Małopolskie, Poland",50.0614,19.9372
409,"Krapkowice, Opolskie, Poland",50.4667,17.9667
410,"Krasnodar, Russia",45.0333,38.9667
411,"Krasnystaw, Lubelskie, Poland",51.0,23.1667
412,"Kraśnik, Lubelskie, Poland",50.9167,22.2167
413,"Krefeld, North Rhine-Westphalia, Germany",51.3333,6.5667
414,"Kremenchuk, Poltavska Oblast, Ukraine",49.0631,33.4039
415,"Kropyvnytskyi, Kirovohradska Oblast, Ukraine",48.5,32.2667
416,"Krosno Odrzańskie, Lubuskie, Poland",52.0333,15.1
417,"Krosno, Podkarpackie, Poland",49.6833,21.75
418,"Krotoszyn, Wielkopolskie, Poland",51.6833,17.4333
419,"Kruszwica, Kujawsko-Pomorskie, Poland",52.6772,18.3292
420,"Krynica, Małopolskie, Poland",49.4117,20.955
421,"Kryvyi Rih, Dnipropetrovska Oblast, Ukraine",47.91,33.39
422,"Krzeszowice, Małopolskie, Poland",50.1333,19.6333
423,"Kudowa-Zdrój, Dolnośląskie, Poland",50.4383,16.2397
424,"Kursk, Russia",51.7167,36.1833
425,"Kutno, Łódzkie, Poland",52.2333,19.3667
426,"Kwidzyn, Pomorskie, Poland",53.7358,18.9308
427,"Kyiv, Ukraine",50.45,30.5233
428,"Kâğıthane, İstanbul, Turkey",41.0719,28.9664
429,"Kütahya, Turkey",39.4167,29.9833
430,"Küçükçekmece, İstanbul, Turkey",41.0,28.8
431,"Kędzierzyn-Koźle, Opolskie, Poland",50.35,18.2
432,"Kępno, Wielkopolskie, Poland",51.2833,17.9833
433,"Kętrzyn, Warmińsko-Mazurskie, Poland",54.0833,21.3833
434,"Kęty, Małopolskie, Poland",49.9,19.2167
435,"Kızıltepe, Mardin, Turkey",37.1939,40.5861
436,"Kłobuck, Śląskie, Poland",50.9167,18.9333
437,"Kłodzko, Dolnośląskie, Poland",50.4333,16.65
438,"Latakia, Al Lādhiqīyah, Syria",35.5167,35.7833
439,"Leeds, United Kingdom",53.7975,-1.5436
440,"Legionowo, Mazowieckie, Poland",52.4,20.8833
441,"Legnica, Dolnośląskie, Poland",51.2083,16.1603
442,"Leicester, United Kingdom",52.6344,-1.1319
443,"Leipzig, Saxony, Germany",51.34,12.375
444,"Leszno, Wielkopolskie, Poland",51.8458,16.5806
445,"Leżajsk, Podkarpackie, Poland",50.2667,22.4333
446,"Libiąż, Małopolskie, Poland",50.1,19.3167
447,"Lidzbark Warmiński, Warmińsko-Mazurskie, Poland",54.1167,20.5833
448,"Lille, Hauts-de-France",50.6278,3.0583
449,"Limanowa, Małopolskie, Poland",49.7006,20.4267
450,"Limassol, Lemesós, Cyprus",34.6747,33.0442
451,"Linz, Oberösterreich, Austria",48.3058,14.2864
452,"Lipetsk, Russia",52.6167,39.6
453,"Lipno, Kujawsko-Pomorskie, Poland",52.85,19.1667
